tn,sn,svl,mass,gapguess,start,transition,acceleration,airborne,end,behavior,bcode,loop,loop time,twist,twist time,multibout,bnotes,notes
250,85,72.5,53.3,55,37371,37778,37841,,37912,Non-Cantilever,1,Yes (very small),during,Yes,"minimal during, slightly more after.",No,,
252,85,72.5,52,55,18908,19204,19219,,19255,Non-Cantilever,1,No,N/A,Can't tell,N/A,No,,
253,85,72.5,52,55,26173,26756,26781,,26816,Non-Cantilever,1,Maybe,during,Can't tell,N/A,No,,
254,85,72.5,52,60,17930,18932,18932,,18972,Non-Cantilever,1,No,N/A,No,N/A,No,,
255,85,72.5,52,60,16162,16319,16346,,16433,Sliding Arch,1,Yes,during,Yes (I think),During,No,,
256,85,72.5,52,60,8786,10986,11117,,11137,Non-Cantilever,1,Very small,during,Yes (I think),After,No,,
257,85,72.5,52,65,3480,4552,4710,4741,4750,Non-Cantilever,1,Yes,during,Yes,During,No,Last marker missing; airborne estimate may be off,
258,85,72.5,52,65,1183,1484,1718,1762,1768,Non-Cantilever,1,Yes,"before, during",Yes,"before, during",No,,
259,85,72.5,52,65,32973,33107,33199,33244,33253,Non-Cantilever,1,Yes,"before, during",Yes,"before, during",No,Last marker missing; airborne estimate may be off,
261,85,72.5,52,70,9547,10231,10366,10414,10425,Non-Cantilever,1,Yes,all,Yes,all,No,Video shows period of airborne except for tail,
262,85,72.5,52,70,22449,22540,22720,22762,22776,Non-Cantilever,1,Yes,all,Yes,all,No,"Video shows clear, fully airborn period",
264,85,72.5,51.4,70,33592,33973,34297,34354,34370,Non-Cantilever,1,Yes,all,Yes,all,No,Head marker and marker 1 pass through a failry straight line but the rest of the markers pass through an arc.,
265,85,72.5,51.4,75,16049,19849,20424,20494,20497,Non-Cantilever,1,Yes,"before, during",Yes,"before, during",No,,
266,85,72.5,51.4,75,51656,52484,52758,52832,52844,Non-Cantilever,1,Yes,"before, during",Yes,"before, during",No,,
267,85,72.5,51.4,75,18965,19345,19806,19868,19873,Non-Cantilever,1,Yes,"before, during",Minimal,But it was crossed sideways over the branch end so still using lateral bend thing -- weird!,No,,
268,85,72.5,51.4,80,15676,16476,16780,16848,16863,Non-Cantilever,1,Yes,"before, during",Yes,"before, during",No,,
269,85,72.5,51.4,80,16658,18072,18533,18598,18615,Non-Cantilever,1,Yes,all,Yes,all,No,,
270,85,72.5,51.4,80,20081,23207,23614,23686,23700,Non-Cantilever,1,Yes,all,Yes,all,No,Last marker missing; airborne estimate may be off,
271,85,72.5,51.4,85,21948,22658,22946,23020,23039,Non-Cantilever,1,Yes,all,Yes,all,No,Last marker missing; airborne estimate may be off,
272,85,72.5,51.4,85,5501,5690,6220,6291,6305,Non-Cantilever,1,Yes,"before, during",Yes,"before, during",No,,
274,85,72.5,52,85,6741,7119,7327,7394,7417,Non-Cantilever,1,Yes,"before, during",Yes,"before, during",No,,
275,85,72.5,52,90,24257,,24292,24362,24393,Non-Cantilever,1,Yes,all,Yes,all,No,,
276,85,72.5,52,95,18964,,19076,19139,19156,Non-Cantilever,1,Yes,all,Yes,all,No,,
277,85,72.5,52,100,13846,,14039,14112,14141,Non-Cantilever,1,Yes,all,Yes,all,No,,
281,85,72.5,52,105,66800,,67025,67090,67121,Non-Cantilever,1,Yes,all,Yes,all,No,Snake does something bizarre with head at landing,
282,85,72.5,52,110,31897,,31978,32051,32087,Non-Cantilever,1,Yes,all,Yes,all,No,Last marker missing; airborne estimate may be off,
283,85,72.5,52,115,23277,,23668,23741,23774,Non-Cantilever,1,Yes,all,Yes,all,No,,
289,85,72.5,51.4,120,67201,,67251,67319,67352,Non-Cantilever,1,Yes,all,Yes,all,No,,
